code,city_name
AFL,Afula
AKO,Akko
ASD,Ashdod
ASK,Ashkelon
BBK,Bnei Brak
BSM,Beit Shemesh
BSV,Beersheva
BTY,Bat Yam
ELT,Eilat
GTM,Givatayim
HAI,Haifa
HDR,Hadera
HDS,Hod HaSharon
HOL,Holon
HRZ,Herzliya
JER,Jerusalem
KAT,Kiryat Ata
KFS,Kfar Saba
KGT,Kiryat Gat
LOD,Lod
MDN,Modiin
NHR,Nahariya
NSZ,Ness Ziona
NTN,Netanya
NTV,Netivot
NZR,Nazareth
PHK,Pardes Hanna-Karkur
PTV,Petah Tikva
RAN,Raanana
RHT,Rahat
RHV,Rehovot
RLZ,Rishon LeZion
RMG,Ramat Gan
RML,Ramla
RSN,Rosh HaAyin
SDR,Sderot
TLV,Tel Aviv
UMF,Umm al-Fahm
YVN,Yavne
